Name,Category,Tags,URL
‘Operation Checkmate’ | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationCheckmate
Operation Husky | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationHusky
Operation Blackcock' | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationBlackcock
Operation Ferdy | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationFerdy
Operation Avalanche | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/Salerno
Operation Devon | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationDevon
Operation Partridge | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/partridge
Operation Premium | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/Operation_Premium
Operation Detained 1 | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/CommandoOperationGrohote
Operation X Anzio beachhead | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/AnzioWadis9Commando
Operation Screwdriver' | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationScrewdriver
Operation Silchar' | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/node/1627
Operation Detained 11 | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/Detained2
Operation Mercerised | Commando Veterans Archive,Operation,"Commando,Operations",http://www.commandoveterans.org/SarandeAlbaniaCommando
Operation Floxo | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/Floxo
Operation Infatuate | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/Walcheren
Operation Bean' | Commando Veterans Archive,Operation,"UK,Commando,Operations",http://www.commandoveterans.org/OperationBean1Commando
Operation Horse | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationHorse
Operation Widgeon | Commando Veterans Archive,Operation,"Commando,Operations",http://www.commandoveterans.org/OperationWidgeon
Operation Roast | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/2CdoComacchio
Operation Impact Plain | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationImpactPlain
